data_inicio,ano,mes,data_fim,ano_pmo,mes_pmo,numero_revisao,semana_operativa,id_modelo_usina,id_subsistema,subsistema,usina,custo_variavel_unitario
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,176,N,NORTE,P. ITAQUI,931.89
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,203,N,NORTE,C. ROCHA,0
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,212,N,NORTE,MARANHAO3,100.41
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,205,N,NORTE,MANAUARA,0
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,207,N,NORTE,PONTA NEGR,0
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,421,N,NORTE,MARAN_VL22,402.78
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,204,N,NORTE,JARAQUI,0
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,446,N,NORTE,N.VEN2_L22,272.08
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,201,N,NORTE,APARECIDA,191.39
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,140,N,NORTE,UTE MAUA 3,191.39
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,436,N,NORTE,MARANIVL22,402.78
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,70,N,NORTE,GERAMAR2,1102.69
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,447,N,NORTE,N.VEN2_L7,272.08
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,73,N,NORTE,GERAMAR1,1102.69
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,422,N,NORTE,MARAN_VL_7,402.77
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,209,N,NORTE,TAMBAQUI,0
2022-10-29,2022,10,2022-11-04,2022,10,0,PMO Novembro 2022,116,N,NORTE,PARNAIB_IV,151.69
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,73,N,NORTE,GERAMAR1,1397.6
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,421,N,NORTE,MARAN_VL22,516.13
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,205,N,NORTE,MANAUARA,0
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,209,N,NORTE,TAMBAQUI,0
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,446,N,NORTE,N.VEN2_L22,257.06
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,70,N,NORTE,GERAMAR2,1397.6
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,176,N,NORTE,P. ITAQUI,1136.97
2022-08-27,2022,8,2022-09-02,2022,8,0,PMO Setembro 2022,201,N,NORTE,APARECIDA,237.89
